text_generator;text_length;wildcards;pattern_length;searcher;test_result_duration_nano;test_result_char_comparisons
DNA;10000;true;500;KMP (Precise Borders);145532;47194
DNA;10000;true;600;Naive;48752;13545
DNA;10000;true;600;KMP (Standard Borders);148527;47699
DNA;10000;true;600;KMP (Precise Borders);147224;47746
DNA;10000;true;700;Naive;48783;13621
DNA;10000;true;700;KMP (Standard Borders);144188;46505
DNA;10000;true;700;KMP (Precise Borders);142396;46588
DNA;10000;true;800;Naive;49241;13679
DNA;10000;true;800;KMP (Standard Borders);149133;47934
DNA;10000;true;800;KMP (Precise Borders);147929;48244
DNA;10000;true;900;Naive;49050;13592
DNA;10000;true;900;KMP (Standard Borders);148749;48096
DNA;10000;true;900;KMP (Precise Borders);147765;48446
DNA;10000;true;1000;Naive;49364;13774
DNA;10000;true;1000;KMP (Standard Borders);151478;49432
DNA;10000;true;1000;KMP (Precise Borders);154324;49728
DNA;10000;true;1100;Naive;49210;13707
DNA;10000;true;1100;KMP (Standard Borders);153558;49591
DNA;10000;true;1100;KMP (Precise Borders);153946;50202
DNA;10000;true;1200;Naive;49452;13701
DNA;10000;true;1200;KMP (Standard Borders);152853;49684
DNA;10000;true;1200;KMP (Precise Borders);153188;50347
DNA;10000;true;1300;Naive;49024;13741
DNA;10000;true;1300;KMP (Standard Borders);148069;48499
DNA;10000;true;1300;KMP (Precise Borders);149255;49251
DNA;10000;true;1400;Naive;49100;13796
DNA;10000;true;1400;KMP (Standard Borders);157266;51578
DNA;10000;true;1400;KMP (Precise Borders);157901;52327
DNA;10000;true;1500;Naive;49250;13815
DNA;10000;true;1500;KMP (Standard Borders);156672;51604
DNA;10000;true;1500;KMP (Precise Borders);158563;52559
DNA;10000;true;1600;Naive;49398;13832
DNA;10000;true;1600;KMP (Standard Borders);157064;51766
DNA;10000;true;1600;KMP (Precise Borders);158816;52785
DNA;10000;true;1700;Naive;49351;13824
DNA;10000;true;1700;KMP (Standard Borders);160701;53264
DNA;10000;true;1700;KMP (Precise Borders);162153;54318
DNA;10000;true;1800;Naive;49643;13949
DNA;10000;true;1800;KMP (Standard Borders);151159;50258
DNA;10000;true;1800;KMP (Precise Borders);154902;51482
DNA;10000;true;1900;Naive;49364;13946
DNA;10000;true;1900;KMP (Standard Borders);153918;51205
DNA;10000;true;1900;KMP (Precise Borders);157371;52515
DNA;10000;true;2000;Naive;49186;13930
DNA;10000;true;2000;KMP (Standard Borders);160969;54014
DNA;10000;true;2000;KMP (Precise Borders);163985;55294
DNA;10000;true;2100;Naive;49822;13957
DNA;10000;true;2100;KMP (Standard Borders);171001;56606
DNA;10000;true;2100;KMP (Precise Borders);176386;58185
DNA;10000;true;2200;Naive;49919;14091
